Week,ID,Jar,Status,Status,Hatched
1,C3,1C3,0,un,1
1,C3,1C3,0,un,1
1,C3,1C3,0,un,1
1,C3,1C3,0,un,1
1,C3,1C3,0,un,1
1,C3,1C3,0,un,1
1,C3,1C3,0,un,1
1,C3,1C3,0,un,1
1,C4,1C4,0,un,1
1,C4,1C4,0,un,1
1,C4,1C4,0,un,1
1,C4,1C4,0,un,1
1,C4,1C4,0,un,1
1,C4,1C4,0,un,1
1,C4,1C4,0,un,1
1,C4,1C4,0,un,1
1,C8,1C8,0,un,1
1,C8,1C8,0,un,1
1,C8,1C8,0,un,1
1,C8,1C8,0,un,1
1,C8,1C8,0,un,1
1,C8,1C8,0,un,1
1,C8,1C8,0,un,1
1,C8,1C8,0,un,1
1,C8,1C8,0,un,1
1,C10,1C10,0,un,1
1,C10,1C10,0,un,1
1,C10,1C10,0,un,1
1,C10,1C10,0,un,1
1,C10,1C10,0,un,1
1,C10,1C10,0,un,1
1,C10,1C10,0,un,1
1,C10,1C10,0,un,1
1,C10,1C10,0,un,1
1,C10,1C10,0,un,1
1,C14,1C14,0,un,1
1,C14,1C14,0,un,1
1,C14,1C14,0,un,0
1,C14,1C14,0,un,0
1,C14,1C14,0,un,0
1,C14,1C14,0,un,0
1,C14,1C14,0,un,0
1,C14,1C14,0,un,0
1,C14,1C14,0,un,0
1,C14,1C14,0,un,0
1,C14,1C14,0,un,0
1,C14,1C14,0,un,0
1,C14,1C14,0,un,0
1,C17,1C17,0,un,1
1,C17,1C17,0,un,1
1,C17,1C17,0,un,1
1,C17,1C17,0,un,1
1,C17,1C17,0,un,1
1,C17,1C17,0,un,1
1,C17,1C17,0,un,1
1,C17,1C17,0,un,1
1,C18,1C18,0,un,1
1,C18,1C18,0,un,1
1,C18,1C18,0,un,1
1,C18,1C18,0,un,1
1,C18,1C18,0,un,1
1,C18,1C18,0,un,1
1,C18,1C18,0,un,1
1,C18,1C18,0,un,1
1,C18,1C18,0,un,1
1,C18,1C18,0,un,0
1,C18,1C18,0,un,0
1,C18,1C18,0,un,0
1,C19,1C19,0,un,1
1,C19,1C19,0,un,1
1,C19,1C19,0,un,1
1,C19,1C19,0,un,1
1,C19,1C19,0,un,1
1,C19,1C19,0,un,0
1,C19,1C19,0,un,0
1,C19,1C19,0,un,0
1,C19,1C19,0,un,0
1,C20,1C20,0,un,1
1,C20,1C20,0,un,1
1,C20,1C20,0,un,1
1,C20,1C20,0,un,1
1,C20,1C20,0,un,1
1,C20,1C20,0,un,1
1,C20,1C20,0,un,1
1,C20,1C20,0,un,1
1,C20,1C20,0,un,1
1,C20,1C20,0,un,1
1,C21,1C21,0,un,1
1,C21,1C21,0,un,1
1,C21,1C21,0,un,1
1,C21,1C21,0,un,1
1,C21,1C21,0,un,1
1,C21,1C21,0,un,1
1,C21,1C21,0,un,1
1,C21,1C21,0,un,1
1,C21,1C21,0,un,1
1,C21,1C21,0,un,1
1,C21,1C21,0,un,1
1,C21,1C21,0,un,1
1,C22,1C22,0,un,0
1,C22,1C22,0,un,0
1,C22,1C22,0,un,0
1,C22,1C22,0,un,0
1,C22,1C22,0,un,0
1,C22,1C22,0,un,0
1,C22,1C22,0,un,0
1,C23,1C23,0,un,1
1,C23,1C23,0,un,1
1,C23,1C23,0,un,1
1,C23,1C23,0,un,1
1,C23,1C23,0,un,1
1,C23,1C23,0,un,1
1,C23,1C23,0,un,1
1,C23,1C23,0,un,1
1,C23,1C23,0,un,1
1,C23,1C23,0,un,1
1,C23,1C23,0,un,0
1,C25,1C25,0,un,1
1,C25,1C25,0,un,1
1,C25,1C25,0,un,1
1,C25,1C25,0,un,1
1,C25,1C25,0,un,1
1,C25,1C25,0,un,1
1,C25,1C25,0,un,1
1,C25,1C25,0,un,1
1,C25,1C25,0,un,1
1,C27,1C27,0,un,1
1,C27,1C27,0,un,1
1,C27,1C27,0,un,1
1,C27,1C27,0,un,1
1,C27,1C27,0,un,1
1,C27,1C27,0,un,1
1,C27,1C27,0,un,1
1,C27,1C27,0,un,1
1,C27,1C27,0,un,0
1,C27,1C27,0,un,0
1,C27,1C27,0,un,0
1,C27,1C27,0,un,0
1,C27,1C27,0,un,0
1,C27,1C27,0,un,0
1,C27,1C27,0,un,0
1,C27,1C27,0,un,0
1,C28,1C28,0,un,1
1,C28,1C28,0,un,1
1,C28,1C28,0,un,1
1,C28,1C28,0,un,1
1,C28,1C28,0,un,1
1,C28,1C28,0,un,1
1,C28,1C28,0,un,1
1,C28,1C28,0,un,0
1,C30,1C30,0,un,0
1,C30,1C30,0,un,0
1,C30,1C30,0,un,0
1,C30,1C30,0,un,0
1,C30,1C30,0,un,0
1,C30,1C30,0,un,0
1,C33,1C33,0,un,1
1,C33,1C33,0,un,1
1,C33,1C33,0,un,1
1,C33,1C33,0,un,1
1,C33,1C33,0,un,1
1,C33,1C33,0,un,1
1,C33,1C33,0,un,1
1,C33,1C33,0,un,1
1,C33,1C33,0,un,1
1,C33,1C33,0,un,1
1,C33,1C33,0,un,1
1,C33,1C33,0,un,1
1,C35,1C35,0,un,1
1,C35,1C35,0,un,1
1,C35,1C35,0,un,1
1,C35,1C35,0,un,1
1,C35,1C35,0,un,1
1,C35,1C35,0,un,1
1,C35,1C35,0,un,1
1,C35,1C35,0,un,1
1,C35,1C35,0,un,1
1,C38,1C38,0,un,1
1,C38,1C38,0,un,1
1,C38,1C38,0,un,1
1,C38,1C38,0,un,1
1,C38,1C38,0,un,1
1,C38,1C38,0,un,1
1,C38,1C38,0,un,1
1,C38,1C38,0,un,1
1,C38,1C38,0,un,1
1,C38,1C38,0,un,1
1,C38,1C38,0,un,1
1,I1,1I1,2,in,0
1,I1,1I1,2,in,0
1,I1,1I1,2,in,0
1,I1,1I1,2,in,0
1,I1,1I1,2,in,0
1,I1,1I1,2,in,0
1,I1,1I1,2,in,0
1,I1,1I1,2,in,0
1,I1,1I1,2,in,0
1,I1,1I1,2,in,0
1,I3,1I3,2,in,0
1,I3,1I3,2,in,0
1,I3,1I3,2,in,0
1,I4,1I4,2,in,1
1,I4,1I4,2,in,1
1,I4,1I4,2,in,1
1,I4,1I4,2,in,1
1,I4,1I4,2,in,1
1,I4,1I4,2,in,1
1,I4,1I4,2,in,1
1,I4,1I4,2,in,1
1,I4,1I4,2,in,1
1,I5,1I5,2,in,1
1,I5,1I5,2,in,1
1,I5,1I5,2,in,1
1,I5,1I5,2,in,1
1,I5,1I5,2,in,1
1,I5,1I5,2,in,1
1,I5,1I5,2,in,1
1,I5,1I5,2,in,1
1,I5,1I5,2,in,1
1,I6,1I6,2,in,0
1,I6,1I6,2,in,0
1,I6,1I6,2,in,0
1,I6,1I6,2,in,0
1,I6,1I6,2,in,0
1,I6,1I6,2,in,0
1,I6,1I6,2,in,0
1,I6,1I6,2,in,0
1,I6,1I6,2,in,0
1,I7,1I7,2,in,1
1,I7,1I7,2,in,1
1,I7,1I7,2,in,1
1,I7,1I7,2,in,1
1,I7,1I7,2,in,1
1,I7,1I7,2,in,1
1,I7,1I7,2,in,1
1,I7,1I7,2,in,1
1,I7,1I7,2,in,1
1,I7,1I7,2,in,0
1,I7,1I7,2,in,0
1,I8,1I8,2,in,1
1,I8,1I8,2,in,1
1,I8,1I8,2,in,1
1,I8,1I8,2,in,1
1,I8,1I8,2,in,1
1,I8,1I8,2,in,1
1,I8,1I8,2,in,1
1,I8,1I8,2,in,1
1,I8,1I8,2,in,1
1,I8,1I8,2,in,1
1,I8,1I8,2,in,1
1,I12,1I12,2,in,1
1,I12,1I12,2,in,1
1,I12,1I12,2,in,1
1,I12,1I12,2,in,1
1,I12,1I12,2,in,1
1,I12,1I12,2,in,1
1,I12,1I12,2,in,0
1,I13,1I13,1,ex,1
1,I13,1I13,1,ex,1
1,I13,1I13,1,ex,1
1,I13,1I13,1,ex,1
1,I13,1I13,1,ex,1
1,I13,1I13,1,ex,1
1,I13,1I13,1,ex,1
1,I13,1I13,1,ex,1
1,I13,1I13,1,ex,1
1,I13,1I13,1,ex,1
1,I14,1I14,2,in,1
1,I14,1I14,2,in,1
1,I14,1I14,2,in,1
1,I14,1I14,2,in,1
1,I14,1I14,2,in,1
1,I14,1I14,2,in,1
1,I14,1I14,2,in,1
1,I14,1I14,2,in,1
1,I14,1I14,2,in,0
1,I14,1I14,2,in,0
1,I18,1I18,2,in,1
1,I18,1I18,2,in,1
1,I18,1I18,2,in,1
1,I18,1I18,2,in,1
1,I18,1I18,2,in,1
1,I18,1I18,2,in,1
1,I18,1I18,2,in,1
1,I18,1I18,2,in,1
1,I18,1I18,2,in,1
1,I18,1I18,2,in,1
1,I18,1I18,2,in,1
1,I18,1I18,2,in,1
1,I18,1I18,2,in,1
1,I20,1I20,2,in,1
1,I20,1I20,2,in,1
1,I20,1I20,2,in,1
1,I20,1I20,2,in,1
1,I20,1I20,2,in,1
1,I20,1I20,2,in,1
1,I20,1I20,2,in,1
1,I20,1I20,2,in,1
1,I20,1I20,2,in,1
1,I20,1I20,2,in,1
1,I20,1I20,2,in,0
1,I22,1I22,2,in,1
1,I22,1I22,2,in,1
1,I22,1I22,2,in,1
1,I22,1I22,2,in,1
1,I22,1I22,2,in,1
1,I22,1I22,2,in,1
1,I22,1I22,2,in,1
1,I22,1I22,2,in,1
1,I24,1I24,2,in,1
1,I24,1I24,2,in,1
1,I24,1I24,2,in,1
1,I24,1I24,2,in,1
1,I24,1I24,2,in,1
1,I24,1I24,2,in,1
1,I24,1I24,2,in,1
1,I24,1I24,2,in,1
1,I24,1I24,2,in,1
1,I24,1I24,2,in,0
1,I25,1I25,2,in,1
1,I25,1I25,2,in,1
1,I25,1I25,2,in,1
1,I25,1I25,2,in,1
1,I25,1I25,2,in,1
1,I25,1I25,2,in,1
1,I25,1I25,2,in,1
1,I25,1I25,2,in,0
1,I25,1I25,2,in,0
1,I25,1I25,2,in,0
1,I26,1I26,1,ex,1
1,I26,1I26,1,ex,0
1,I26,1I26,1,ex,0
1,I26,1I26,1,ex,0
1,I27,1I27,2,in,1
1,I27,1I27,2,in,1
1,I27,1I27,2,in,1
1,I27,1I27,2,in,1
1,I27,1I27,2,in,0
1,I27,1I27,2,in,0
1,I27,1I27,2,in,0
1,I27,1I27,2,in,0
1,I27,1I27,2,in,0
1,I27,1I27,2,in,0
1,I27,1I27,2,in,0
1,I28,1I28,2,in,1
1,I28,1I28,2,in,1
1,I28,1I28,2,in,1
1,I28,1I28,2,in,1
1,I28,1I28,2,in,1
1,I28,1I28,2,in,1
1,I28,1I28,2,in,1
1,I28,1I28,2,in,1
1,I28,1I28,2,in,1
1,I28,1I28,2,in,1
1,I29,1I29,1,ex,0
1,I29,1I29,1,ex,0
1,I29,1I29,1,ex,0
1,I29,1I29,1,ex,0
1,I29,1I29,1,ex,0
1,I29,1I29,1,ex,0
1,I29,1I29,1,ex,0
1,I29,1I29,1,ex,0
1,I29,1I29,1,ex,0
1,I30,1I30,2,in,1
1,I30,1I30,2,in,0
1,I30,1I30,2,in,0
1,I30,1I30,2,in,0
1,I30,1I30,2,in,0
1,I30,1I30,2,in,0
1,I30,1I30,2,in,0
1,I30,1I30,2,in,0
1,I30,1I30,2,in,0
1,I30,1I30,2,in,0
1,I30,1I30,2,in,0
1,I31,1I31,2,in,1
1,I31,1I31,2,in,1
1,I31,1I31,2,in,1
1,I31,1I31,2,in,1
1,I31,1I31,2,in,1
1,I31,1I31,2,in,1
1,I31,1I31,2,in,1
1,I31,1I31,2,in,1
1,I31,1I31,2,in,0
1,I32,1I32,2,in,1
1,I32,1I32,2,in,1
1,I32,1I32,2,in,1
1,I32,1I32,2,in,1
1,I32,1I32,2,in,1
1,I32,1I32,2,in,1
1,I32,1I32,2,in,1
1,I32,1I32,2,in,1
1,I33,1I33,2,in,1
1,I33,1I33,2,in,1
1,I33,1I33,2,in,1
1,I33,1I33,2,in,1
1,I33,1I33,2,in,1
1,I33,1I33,2,in,1
