SNAil.ID,Infection.Status,fact,fact1,week,eggs,egg.masses,eggs.egg.masses
I-29,1,ex,ex,2,41,5,8.2
I-30,2,in,in,2,49,4,12.25
I-31,2,in,in,2,125,11,11.36363636
I-32,2,in,in,2,104,10,10.4
I-33,2,in,in,2,70,8,8.75
I-34,2,in,in,2,64,7,9.142857143
I-35,2,in,in,2,147,11,13.36363636
I-36,2,in,in,2,120,12,10
I-37,2,in,in,2,104,10,10.4
I-38,1,ex,ex,2,51,12,4.25
I-39,2,in,in,2,91,8,11.375
I-40,2,in,in,2,33,10,3.3
I-41,2,in,in,2,28,6,4.666666667
I-42,2,in,in,2,0,0,0
I-43,1,ex,ex,2,NA,NA,NA
I-44,1,ex,ex,2,39,6,6.5
I-45,1,ex,ex,2,61,9,6.777777778
I-46,2,in,in,2,105,9,11.66666667
I-47,2,in,in,2,44,7,6.285714286
I-48,1,ex,ex,2,NA,NA,NA
I-49,1,ex,ex,2,75,7,10.71428571
I-50,1,ex,ex,2,146,12,12.16666667
C-1 ,0,un,a,3,0,0,0
C-2,0,un,a,3,0,0,0
C-3,0,un,a,3,19,6,3.166666667
C-4,0,un,a,3,48,4,12
C-5,0,un,a,3,8,3,2.666666667
C-6,0,un,a,3,16,5,3.2
C-7,0,un,a,3,NA,NA,NA
C-8,0,un,a,3,97,6,16.16666667
C-9,0,un,a,3,23,7,3.285714286
C-10,0,un,a,3,126,8,15.75
C-11,0,un,a,3,132,15,8.8
C-12,0,un,a,3,57,9,6.333333333
C-13,0,un,a,3,0,0,0
C-14,0,un,a,3,0,0,0
C-15,0,un,a,3,181,11,16.45454545
C-16,0,un,a,3,148,10,14.8
C-17,0,un,a,3,78,12,6.5
C-18,0,un,a,3,123,7,17.57142857
C-19,0,un,a,3,124,7,17.71428571
C-20,0,un,a,3,74,6,12.33333333
C-21,0,un,a,3,92,3,30.66666667
C-22,0,un,a,3,73,6,12.16666667
C-23,0,un,a,3,88,4,22
C-24,0,un,a,3,0,0,0
C-25,0,un,a,3,25,7,3.571428571
C-26,0,un,a,3,31,3,10.33333333
C-27,0,un,a,3,NA,NA,NA
C-28,0,un,a,3,136,8,17
C-29,0,un,a,3,8,3,2.666666667
C-30,0,un,a,3,58,3,19.33333333
C-31,0,un,a,3,3,2,1.5
C-32,0,un,a,3,0,0,0
C-33,0,un,a,3,163,9,18.11111111
C-34,0,un,a,3,116,12,9.666666667
C-35,0,un,a,3,135,10,13.5
C-36,0,un,a,3,67,7,9.571428571
C-37,0,un,a,3,6,2,3
C-38,0,un,a,3,120,7,17.14285714
C-39,0,un,a,3,0,0,0
C-40,0,un,a,3,49,4,12.25
I-1,2,in,in,3,25,2,12.5
I-2,2,in,in,3,6,1,6
I-3,2,in,in,3,44,5,8.8
I-4,2,in,in,3,36,6,6
I-5,2,in,in,3,86,7,12.28571429
I-6,2,in,in,3,38,9,4.222222222
I-7,2,in,in,3,107,9,11.88888889
I-8,2,in,in,3,18,5,3.6
I-9,2,in,in,3,0,0,0
I-10,1,ex,ex,3,5,2,2.5
I-11,2,in,in,3,2,2,1
I-12,2,in,in,3,31,4,7.75
I-13,1,ex,ex,3,167,14,11.92857143
I-14,2,in,in,3,30,3,10
I-15,2,in,in,3,83,6,13.83333333
I-16,1,ex,ex,3,152,10,15.2
I-17,2,in,in,3,67,7,9.571428571
I-18,2,in,in,3,121,9,13.44444444
I-19,2,in,in,3,7,3,2.333333333
I-20,2,in,in,3,124,7,17.71428571
I-21,2,in,in,3,0,0,0
I-22,2,in,in,3,46,4,11.5
I-23,1,ex,ex,3,NA,NA,NA
I-24,2,in,in,3,23,2,11.5
I-25,2,in,in,3,52,5,10.4
I-26,1,ex,ex,3,72,6,12
I-27,2,in,in,3,59,4,14.75
I-28,2,in,in,3,13,6,2.166666667
I-29,1,ex,ex,3,39,4,9.75
I-30,2,in,in,3,43,4,10.75
I-31,2,in,in,3,98,8,12.25
I-32,2,in,in,3,74,7,10.57142857
I-33,2,in,in,3,83,7,11.85714286
I-34,2,in,in,3,49,5,9.8
I-35,2,in,in,3,145,9,16.11111111
